postcode,suburb,state,lat,lon
3193,Beaumaris,VIC,-37.990,145.030
3135,Bedford Road,VIC,-37.820,145.250
3139,Beenak,VIC,-37.800,145.540
3160,Belgrave,VIC,-37.910,145.360
3160,Belgrave Heights,VIC,-37.910,145.360
3160,Belgrave South,VIC,-37.910,145.360
3215,Bell Park,VIC,-38.110,144.330
3215,Bell Post Hill,VIC,-38.110,144.330
3221,Bellarine,VIC,-37.900,144.250
3228,Bellbrae,VIC,-38.330,144.260
3081,Bellfield,VIC,-37.750,145.050
3228,Bells Beach,VIC,-38.330,144.260
3216,Belmont,VIC,-38.180,144.340
3198,Belvedere Park,VIC,-38.110,145.160
3946,Bena,VIC,-38.430,145.720
3097,Bend Of Islands,VIC,-37.700,145.280
3552,Bendigo,VIC,-37.830,145.010
3435,Benloch,VIC,-37.190,144.690
3125,Bennettswood,VIC,-37.840,145.120
3204,Bentleigh,VIC,-37.920,145.040
3165,Bentleigh East,VIC,-37.930,145.060
3342,Beremboke,VIC,-37.600,144.230
3806,Berwick,VIC,-38.030,145.340
3753,Beveridge,VIC,-37.470,145.000
3799,Big Pats Creek,VIC,-37.760,145.750
3918,Bittern,VIC,-38.340,145.180
3193,Black Rock,VIC,-37.990,145.030
3193,Black Rock North,VIC,-37.990,145.030
3130,Blackburn,VIC,-37.820,145.150
3130,Blackburn North,VIC,-37.820,145.150
3130,Blackburn South,VIC,-37.820,145.150
3458,Blackwood,VIC,-37.450,144.290
3992,Blackwood Forest,VIC,-38.490,145.620
3942,Blairgowrie,VIC,-38.360,144.770
3342,Blakeville,VIC,-37.600,144.230
3980,Blind Bight,VIC,-38.210,145.340
3432,Bolinda,VIC,-37.430,144.780
3196,Bonbeach,VIC,-38.060,145.120
3939,Boneo,VIC,-38.400,144.900
3720,Bonnie Doon,VIC,-37.020,145.860
3163,Booran Road Po,VIC,-37.890,145.060
3155,Boronia,VIC,-37.860,145.280
3977,Botanic Ridge,VIC,-38.210,145.320
3128,Box Hill,VIC,-37.820,145.120
3128,Box Hill Central,VIC,-37.820,145.120
3129,Box Hill North,VIC,-37.800,145.130
3128,Box Hill South,VIC,-37.820,145.120
3195,Braeside,VIC,-38.030,145.100
3150,Brandon Park,VIC,-37.880,145.170
3019,Braybrook,VIC,-37.780,144.860
3019,Braybrook North,VIC,-37.780,144.860
3219,Breakwater,VIC,-38.180,144.380
3227,Breamlea,VIC,-38.280,144.490
3131,Brentford Square,VIC,-37.840,145.180
3088,Briar Hill,VIC,-37.710,145.120
3186,Brighton,VIC,-37.910,144.990
3187,Brighton East,VIC,-37.900,145.000
3186,Brighton North,VIC,-37.910,144.990
3184,Brighton Road,VIC,-37.880,145.000
3658,Broadford,VIC,-37.200,145.050
3047,Broadmeadows,VIC,-37.680,144.920
3338,Brookfield,VIC,-37.700,144.540
3012,Brooklyn,VIC,-37.810,144.850
3056,Brunswick,VIC,-37.760,144.940
3057,Brunswick East,VIC,-37.760,144.980
3056,Brunswick Lower,VIC,-37.760,144.940
3056,Brunswick North,VIC,-37.760,144.940
3055,Brunswick South,VIC,-37.770,144.940
3055,Brunswick West,VIC,-37.770,144.940
3428,Bulla,VIC,-37.640,144.800
3461,Bullarto,VIC,-37.390,144.220
3461,Bullarto South,VIC,-37.390,144.220
3105,Bulleen,VIC,-37.770,145.080
3105,Bulleen South,VIC,-37.770,145.080
3437,Bullengarook,VIC,-37.520,144.480
3342,Bunding,VIC,-37.600,144.230
3083,Bundoora,VIC,-37.700,145.070
3815,Bunyip,VIC,-38.100,145.720
3815,Bunyip North,VIC,-38.100,145.720
3121,Burnley,VIC,-37.830,145.010
3121,Burnley North,VIC,-37.830,145.010
3023,Burnside,VIC,-37.750,144.750
3023,Burnside Heights,VIC,-37.750,144.750
3125,Burwood,VIC,-37.840,145.120
3151,Burwood East,VIC,-37.860,145.140
3151,Burwood Heights,VIC,-37.860,145.140
3711,Buxton,VIC,-37.420,145.710
3442,Cadello,VIC,-37.390,144.450
3023,Cairnlea,VIC,-37.750,144.750
3037,Calder Park,VIC,-37.720,144.780
3984,Caldermeade,VIC,-38.320,145.540
3779,Cambarville,VIC,-37.560,145.890
3124,Camberwell,VIC,-37.820,145.060
3126,Camberwell East,VIC,-37.840,145.090
3124,Camberwell North,VIC,-37.820,145.060
3124,Camberwell South,VIC,-37.820,145.060
3124,Camberwell West,VIC,-37.820,145.060
3061,Campbellfield,VIC,-37.640,144.950
3451,Campbells Creek,VIC,-37.030,144.240
3977,Cannons Creek,VIC,-38.210,145.320
3126,Canterbury,VIC,-37.840,145.090
3995,Cape Paterson,VIC,-38.530,145.450
3939,Cape Schanck,VIC,-38.400,144.900
3925,Cape Woolamai,VIC,-38.540,145.340
3978,Cardinia,VIC,-38.150,145.420
3442,Carlsruhe,VIC,-37.390,144.450
3053,Carlton,VIC,-37.780,144.970
3054,Carlton North,VIC,-37.780,144.970
3053,Carlton South,VIC,-37.780,144.970
3163,Carnegie,VIC,-37.890,145.060
3023,Caroline Springs,VIC,-37.750,144.750
3197,Carrum,VIC,-38.080,145.120
3201,Carrum Downs,VIC,-38.090,145.190
3777,Castella,VIC,-37.690,145.540
3450,Castlemaine,VIC,-37.060,144.220
3981,Catani,VIC,-38.180,145.570
3714,Cathkin,VIC,-37.250,145.700
3162,Caulfield,VIC,-37.880,145.030
3145,Caulfield East,VIC,-37.880,145.040
3161,Caulfield Junction,VIC,-38.030,145.310
3161,Caulfield North,VIC,-38.030,145.310
3162,Caulfield South,VIC,-37.880,145.030
3660,Caveat,VIC,-37.090,145.500
3145,Central Park,VIC,-37.880,145.040
3221,Ceres,VIC,-37.900,144.250
3148,Chadstone,VIC,-37.890,145.080
3148,Chadstone Centre,VIC,-37.890,145.080
3196,Chelsea,VIC,-38.060,145.120
3196,Chelsea Heights,VIC,-38.060,145.120
3192,Cheltenham,VIC,-37.960,145.060
3192,Cheltenham East,VIC,-37.960,145.060
3192,Cheltenham North,VIC,-37.960,145.060
3434,Cherokee,VIC,-37.390,144.640
3451,Chewton,VIC,-37.030,144.240
3451,Chewton Bushlands,VIC,-37.030,144.240
3756,Chintin,VIC,-37.400,144.800
3116,Chirnside Park,VIC,-37.750,145.330
3775,Christmas Hills,VIC,-37.650,145.320
3777,Chum Creek,VIC,-37.690,145.540
3925,Churchill Island,VIC,-38.540,145.340
3169,Clarinda,VIC,-37.940,145.100
3430,Clarkefield,VIC,-37.480,144.750
3168,Clayton,VIC,-37.930,145.120
3169,Clayton South,VIC,-37.940,145.100
3782,Clematis,VIC,-37.920,145.470
3068,Clifton Hill,VIC,-37.790,144.990
3222,Clifton Springs,VIC,-38.160,144.560
3658,Clonbinane,VIC,-37.200,145.050
3978,Clyde,VIC,-38.150,145.420
3978,Clyde North,VIC,-38.150,145.420
3461,Clydesdale,VIC,-37.390,144.220
3165,Coatesville,VIC,-37.930,145.060
3442,Cobaw,VIC,-37.390,144.450
3058,Coburg,VIC,-37.730,144.960
3058,Coburg North,VIC,-37.730,144.960
3781,Cockatoo,VIC,-37.940,145.490
3030,Cocoroc,VIC,-37.970,144.580
3340,Coimadai,VIC,-37.680,144.440
3342,Colbrook,VIC,-37.600,144.230
3770,Coldstream,VIC,-37.720,145.380
3066,Collingwood,VIC,-37.800,144.980
3066,Collingwood North,VIC,-37.800,144.980
3227,Connewarre,VIC,-38.280,144.490
3048,Coolaroo,VIC,-37.650,144.930
3461,Coomoora,VIC,-37.390,144.220
3814,Cora Lynn,VIC,-38.150,145.610
3984,Corinella,VIC,-38.320,145.540
3214,Corio,VIC,-38.070,144.360
3984,Coronet Bay,VIC,-38.320,145.540
3101,Cotham,VIC,-37.810,145.040
3099,Cottles Bridge,VIC,-37.590,145.220
3922,Cowes,VIC,-38.450,145.240
3064,Craigieburn,VIC,-37.600,144.940
3977,Cranbourne,VIC,-38.210,145.320
3977,Cranbourne East,VIC,-38.210,145.320
3977,Cranbourne North,VIC,-38.210,145.320
3977,Cranbourne South,VIC,-38.210,145.320
3977,Cranbourne West,VIC,-38.210,145.320
3121,Cremorne,VIC,-37.830,145.010
3919,Crib Point,VIC,-38.370,145.200
3193,Cromer,VIC,-37.990,145.030
3136,Croydon,VIC,-37.800,145.280
3136,Croydon Hills,VIC,-37.800,145.280
3136,Croydon North,VIC,-37.800,145.280
3136,Croydon South,VIC,-37.800,145.280
3714,Crystal Creek,VIC,-37.250,145.700
3222,Curlewis,VIC,-38.160,144.560
3341,Dales Creek,VIC,-37.520,144.310
3047,Dallas,VIC,-37.680,144.920
3981,Dalmore,VIC,-38.180,145.570
3992,Dalyston,VIC,-38.490,145.620
3175,Dandenong,VIC,-38.030,145.180
3175,Dandenong East,VIC,-38.030,145.180
3175,Dandenong North,VIC,-38.030,145.180
3175,Dandenong Plaza,VIC,-38.030,145.180
3164,Dandenong South,VIC,-38.020,145.240
3340,Darley,VIC,-37.680,144.440
3145,Darling,VIC,-37.880,145.040
3145,Darling South,VIC,-37.880,145.040
3756,Darraweit Guim,VIC,-37.400,144.800
3217,Deakin University,VIC,-38.200,144.300
3023,Deer Park,VIC,-37.750,144.750
3022,Deer Park East,VIC,-37.780,144.800
3023,Deer Park North,VIC,-37.750,144.750
3037,Delahey,VIC,-37.720,144.780
3186,Dendy,VIC,-37.910,144.990
3461,Denver,VIC,-37.390,144.220
3030,Derrimut,VIC,-37.970,144.580
3714,Devils River,VIC,-37.250,145.700
3977,Devon Meadows,VIC,-38.210,145.320
3808,Dewhurst,VIC,-38.000,145.410
3089,Diamond Creek,VIC,-37.640,145.220
3427,Diggers Rest,VIC,-37.630,144.720
3172,Dingley Village,VIC,-37.970,145.120
3775,Dixons Creek,VIC,-37.650,145.320
3008,Docklands,VIC,-37.810,144.950
3139,Don Valley,VIC,-37.800,145.540
3108,Doncaster,VIC,-37.780,145.120
3109,Doncaster East,VIC,-37.810,145.190
3109,Doncaster Heights,VIC,-37.810,145.190
3064,Donnybrook,VIC,-37.600,144.940
3111,Donvale,VIC,-38.180,144.470
3754,Doreen,VIC,-37.620,145.150
3177,Doveton,VIC,-38.000,145.240
3936,Dromana,VIC,-38.350,144.950
3660,Dropmore,VIC,-37.090,145.500
3818,Drouin,VIC,-38.240,145.780
3818,Drouin East,VIC,-38.240,145.780
3818,Drouin South,VIC,-38.240,145.780
3818,Drouin West,VIC,-38.240,145.780
3215,Drumcondra,VIC,-38.110,144.330
3461,Drummond,VIC,-37.390,144.220
3446,Drummond North,VIC,-37.200,144.290
3461,Dry Diggings,VIC,-37.390,144.220
3222,Drysdale,VIC,-38.160,144.560
3175,Dunearn,VIC,-38.030,145.180
3342,Durdidwarrah,VIC,-37.600,144.230
3084,Eaglemont,VIC,-37.740,145.090
3219,East Geelong,VIC,-38.180,144.380
3002,East Melbourne,VIC,-37.820,144.990
3799,East Warburton,VIC,-37.760,145.750
3757,Eden Park,VIC,-37.450,145.110
3444,Edgecombe,VIC,-37.090,144.510
3196,Edithvale,VIC,-38.060,145.120
3461,Eganstown,VIC,-37.390,144.220
3461,Elevated Plains,VIC,-37.390,144.220
3448,Elphinstone,VIC,-37.110,144.340
3185,Elsternwick,VIC,-37.880,145.000
3095,Eltham,VIC,-37.710,145.150
3095,Eltham North,VIC,-37.710,145.150
3184,Elwood,VIC,-37.880,145.000
3782,Emerald,VIC,-37.920,145.470
3802,Endeavour Hills,VIC,-37.980,145.250
3076,Epping,VIC,-37.640,145.010
3076,Epping DC,VIC,-37.640,145.010
3040,Essendon,VIC,-37.760,144.900
3041,Essendon Fields,VIC,-37.740,144.910
3041,Essendon North,VIC,-37.740,144.910
3040,Essendon West,VIC,-37.760,144.900
3177,Eumemmerring,VIC,-38.000,145.240
3338,Exford,VIC,-37.700,144.540
3338,Eynesbury,VIC,-37.700,144.540
3951,Fairbank,VIC,-38.390,145.890
3078,Fairfield,VIC,-37.780,145.030
3451,Faraday,VIC,-37.030,144.240
3714,Fawcett,VIC,-37.250,145.700
3060,Fawkner,VIC,-37.760,144.900
3060,Fawkner East,VIC,-37.760,144.900
3060,Fawkner North,VIC,-37.760,144.900
3458,Fern Hill,VIC,-37.450,144.290
3778,Fernshaw,VIC,-37.630,145.700
3156,Ferntree Gully,VIC,-37.880,145.300
3786,Ferny Creek,VIC,-37.880,145.340
3939,Fingal,VIC,-38.400,144.900
3342,Fiskville,VIC,-37.600,144.230
3065,Fitzroy,VIC,-37.800,144.980
3068,Fitzroy North,VIC,-37.790,144.990
3031,Flemington,VIC,-37.790,144.930
3929,Flinders,VIC,-38.470,145.020
8009,Flinders Lane,VIC,-37.820,144.960
3658,Flowerdale,VIC,-37.200,145.050
3011,Footscray,VIC,-37.800,144.900
3764,Forbes,VIC,-37.310,144.890
3131,Forest Hill,VIC,-37.840,145.180
3805,Fountain Gate,VIC,-38.020,145.300
3461,Franklinford,VIC,-37.390,144.220
3199,Frankston,VIC,-38.150,145.120
3199,Frankston East,VIC,-38.150,145.120
3199,Frankston Heights,VIC,-38.150,145.120
3200,Frankston North,VIC,-38.170,145.190
3199,Frankston South,VIC,-38.150,145.120
3921,French Island,VIC,-38.340,145.340
3216,Freshwater Creek,VIC,-38.180,144.340
3451,Fryerstown,VIC,-37.030,144.240
3221,Fyansford,VIC,-37.900,144.250
3207,Garden City,VIC,-37.830,144.960
3185,Gardenvale,VIC,-37.880,145.000
3814,Garfield,VIC,-38.150,145.610
3814,Garfield North,VIC,-38.150,145.610
3220,Geelong,VIC,-38.180,145.110
3221,Geelong MC,VIC,-37.900,144.250
3215,Geelong North,VIC,-38.110,144.330
3218,Geelong West,VIC,-38.140,144.350
3783,Gembrook,VIC,-37.950,145.550
3833,Gentle Annie,VIC,-37.840,145.850
3717,Ghin Ghin,VIC,-37.340,145.290
3072,Gilberton,VIC,-37.740,145.030
3797,Gilderoy,VIC,-37.860,145.710
3437,Gisborne,VIC,-37.520,144.480
3437,Gisborne South,VIC,-37.520,144.480
3043,Gladstone Park,VIC,-37.690,144.880
3797,Gladysdale,VIC,-37.860,145.710
3979,Glen Alvie,VIC,-38.430,145.560
3990,Glen Forbes,VIC,-38.450,145.530
3163,Glen Huntly,VIC,-37.890,145.060
3146,Glen Iris,VIC,-37.850,145.070
3150,Glen Waverley,VIC,-37.880,145.170
3764,Glenaroua,VIC,-37.310,144.890
3717,Glenburn,VIC,-37.340,145.290
3122,Glenferrie South,VIC,-37.840,145.050
3020,Glengala,VIC,-37.780,144.820
3444,Glenhope,VIC,-37.090,144.510
3522,Glenhope East,VIC,-37.130,144.750
3451,Glenluce,VIC,-37.030,144.240
3461,Glenlyon,VIC,-37.390,144.220
3340,Glenmore,VIC,-37.680,144.440
3046,Glenroy,VIC,-37.700,144.920
3221,Gnarwarre,VIC,-37.900,144.250
3719,Gobur,VIC,-37.010,145.620
3451,Golden Point,VIC,-37.030,144.240
3435,Goldie,VIC,-37.190,144.690
3043,Gowanbrae,VIC,-37.690,144.880
3451,Gower,VIC,-37.030,144.240
3984,Grantville,VIC,-38.320,145.540
3341,Greendale,VIC,-37.520,144.310
3444,Greenhill,VIC,-37.090,144.510
3088,Greensborough,VIC,-37.710,145.120
3059,Greenvale,VIC,-37.640,144.890
3221,Grey River,VIC,-37.900,144.250
3104,Greythorn,VIC,-37.790,145.070
3216,Grovedale,VIC,-38.180,144.340
3216,Grovedale East,VIC,-38.180,144.340
3770,Gruyere,VIC,-37.720,145.380
3451,Guildford,VIC,-37.030,144.240
3807,Guys Hill,VIC,-38.050,145.370
3046,Hadfield,VIC,-37.700,144.920
3803,Hallam,VIC,-38.000,145.270
3818,Hallora,VIC,-38.240,145.780
3215,Hamlyn Heights,VIC,-38.110,144.330
3188,Hampton,VIC,-37.930,145.030
3188,Hampton East,VIC,-37.930,145.030
3188,Hampton North,VIC,-37.930,145.030
3976,Hampton Park,VIC,-38.030,145.270
3453,Harcourt,VIC,-37.000,144.260
3453,Harcourt North,VIC,-37.000,144.260
3806,Harkaway,VIC,-38.030,145.340
3995,Harmers Haven,VIC,-38.530,145.450
3124,Hartwell,VIC,-37.820,145.060
3915,Hastings,VIC,-38.310,145.190
3142,Hawksburn,VIC,-37.840,145.000
3122,Hawthorn,VIC,-37.840,145.050
3123,Hawthorn East,VIC,-37.830,145.040
3122,Hawthorn North,VIC,-37.840,145.050
3122,Hawthorn West,VIC,-37.840,145.050
3658,Hazeldene,VIC,-37.200,145.050
3777,Healesville,VIC,-37.690,145.540
3777,Healesville Main Street,VIC,-37.690,145.540
3777,Healesville Post Shop,VIC,-37.690,145.540
3981,Heath Hill,VIC,-38.180,145.570
3758,Heathcote Junction,VIC,-37.380,145.030
3202,Heatherton,VIC,-37.970,145.210
3135,Heathmont,VIC,-37.820,145.250
3134,Heathwood,VIC,-37.810,145.230
3967,Hedley,VIC,-37.690,144.960
3084,Heidelberg,VIC,-37.740,145.090
3081,Heidelberg Heights,VIC,-37.750,145.050
3081,Heidelberg Rgh,VIC,-37.750,145.050
3081,Heidelberg West,VIC,-37.750,145.050
3461,Hepburn,VIC,-37.390,144.220
3461,Hepburn Springs,VIC,-37.390,144.220
3218,Herne Hill,VIC,-38.140,144.350
3442,Hesket,VIC,-37.390,144.450
3764,High Camp,VIC,-37.310,144.890
3190,Highett,VIC,-37.950,145.030
3660,Highlands,VIC,-37.090,145.500
3032,Highpoint City,VIC,-37.780,144.920
3216,Highton,VIC,-38.180,144.340
3660,Hilldene,VIC,-37.090,145.500
3037,Hillside,VIC,-37.720,144.780
3139,Hoddles Creek,VIC,-37.800,145.540
3148,Holmesglen,VIC,-37.890,145.080
3717,Homewood,VIC,-37.340,145.290
3162,Hopetoun Gardens,VIC,-37.880,145.030
3340,Hopetoun Park,VIC,-37.680,144.440
3029,Hoppers Crossing,VIC,-37.880,144.700
3051,Hotham Hill,VIC,-37.910,145.060
3128,Houston,VIC,-37.820,145.120
3166,Hughesdale,VIC,-37.900,145.080
3757,Humevale,VIC,-37.450,145.110
3166,Huntingdale,VIC,-37.900,145.080
3099,Hurstbridge,VIC,-37.590,145.220
3833,Icy Creek,VIC,-37.840,145.850
3223,Indented Head,VIC,-38.140,144.710
3342,Ingliston,VIC,-37.600,144.230
3815,Iona,VIC,-38.100,145.720
3451,Irishtown,VIC,-37.030,144.240
3079,Ivanhoe,VIC,-37.770,145.040
3079,Ivanhoe East,VIC,-37.770,145.040
3079,Ivanhoe North,VIC,-37.770,145.040
3047,Jacana,VIC,-37.680,144.920
3984,Jam Jerrup,VIC,-38.320,145.540
3228,Jan Juc,VIC,-38.330,144.260
3945,Jeetho,VIC,-37.970,145.160
3818,Jindivick,VIC,-38.240,145.780
3148,Jordanville,VIC,-37.890,145.080
3951,Jumbunna,VIC,-38.390,145.890
3977,Junction Village,VIC,-38.210,145.320
3064,Kalkallo,VIC,-37.600,144.940
3791,Kallista,VIC,-37.900,145.410
3766,Kalorama,VIC,-37.820,145.370
3097,Kangaroo Ground,VIC,-37.700,145.280
3719,Kanumbra,VIC,-37.010,145.620
3951,Kardella,VIC,-38.390,145.890
3950,Kardella South,VIC,-38.450,145.880
3199,Karingal,VIC,-38.150,145.120
3199,Karingal Centre,VIC,-38.150,145.120
3021,Kealba,VIC,-37.750,144.770
3036,Keilor,VIC,-37.720,144.830
3038,Keilor Downs,VIC,-37.730,144.810
3033,Keilor East,VIC,-37.740,144.800
3038,Keilor Lodge,VIC,-37.730,144.810
3036,Keilor North,VIC,-37.720,144.830
3042,Keilor Park,VIC,-37.710,144.890
3221,Kennett River,VIC,-37.900,144.250
3031,Kensington,VIC,-37.790,144.930
3073,Keon Park,VIC,-37.690,145.010
3979,Kernot,VIC,-38.430,145.560
3434,Kerrie,VIC,-37.390,144.640
3129,Kerrimuir,VIC,-37.800,145.130
3660,Kerrisdale,VIC,-37.090,145.500
3101,Kew,VIC,-37.810,145.040
3102,Kew East,VIC,-37.800,145.050
3173,Keysborough,VIC,-37.990,145.150
3995,Kilcunda,VIC,-38.530,145.450
3717,Killingworth,VIC,-37.340,145.290
3764,Kilmore,VIC,-37.310,144.890
3764,Kilmore East,VIC,-37.310,144.890
3137,Kilsyth,VIC,-37.800,145.310
3137,Kilsyth South,VIC,-37.800,145.310
3763,Kinglake,VIC,-37.480,145.280
3757,Kinglake Central,VIC,-37.450,145.110
3757,Kinglake West,VIC,-37.450,145.110
3021,Kings Park,VIC,-37.750,144.770
3083,Kingsbury,VIC,-37.700,145.070
3012,Kingsville,VIC,-37.810,144.850
3012,Kingsville West,VIC,-37.810,144.850
3152,Knox City Centre,VIC,-37.870,145.240
3180,Knoxfield,VIC,-37.890,145.250
3951,Kongwak,VIC,-38.390,145.890
3981,Koo Wee Rup,VIC,-38.180,145.570
3981,Koo Wee Rup North,VIC,-38.180,145.570
3144,Kooyong,VIC,-37.840,145.030
3714,Koriella,VIC,-37.250,145.700
3341,Korobeit,VIC,-37.520,144.310
3950,Korumburra,VIC,-38.450,145.880
3950,Korumburra South,VIC,-38.450,145.880
3461,Korweinguboora,VIC,-37.390,144.220
3945,Krowera,VIC,-37.970,145.160
3930,Kunyung,VIC,-38.190,145.080
3337,Kurunjang,VIC,-37.680,144.590
3619,Kyabram,VIC,-37.660,144.940
3444,Kyneton,VIC,-37.090,144.510
3444,Kyneton South,VIC,-37.090,144.510
3083,La Trobe University,VIC,-37.700,145.070
3816,Labertouche,VIC,-38.050,145.830
3130,Laburnum,VIC,-37.820,145.150
3075,Lalor,VIC,-37.670,145.020
3075,Lalor Plaza,VIC,-37.670,145.020
3995,Lance Creek,VIC,-38.530,145.450
3435,Lancefield,VIC,-37.190,144.690
3984,Lang Lang,VIC,-38.320,145.540
3984,Lang Lang East,VIC,-38.320,145.540
3444,Langley,VIC,-37.090,144.510
3910,Langwarrin,VIC,-38.150,145.190
3911,Langwarrin South,VIC,-38.200,145.160
3212,Lara,VIC,-38.020,144.410
3139,Launching Place,VIC,-37.800,145.540
3444,Lauriston,VIC,-37.090,144.510
3028,Laverton,VIC,-37.870,144.780
3026,Laverton North,VIC,-37.840,144.800
3461,Leonards Hill,VIC,-37.390,144.220
3224,Leopold,VIC,-38.180,144.460
3458,Lerderderg,VIC,-37.450,144.290
3140,Lilydale,VIC,-37.760,145.350
3717,Limestone,VIC,-37.340,145.290
3458,Little Hampton,VIC,-37.450,144.290
8011,Little Lonsdale Street,VIC,-37.810,144.960
3211,Little River,VIC,-37.970,144.530
3945,Loch,VIC,-37.970,145.160
3833,Loch Valley,VIC,-37.840,145.850
3340,Long Forest,VIC,-37.680,144.440
3816,Longwarry,VIC,-38.050,145.830
3816,Longwarry North,VIC,-38.050,145.830
3221,Lovely Banks,VIC,-37.900,144.250
3093,Lower Plenty,VIC,-37.730,145.090
3444,Lyal,VIC,-37.090,144.510
3057,Lygon Street North,VIC,-37.760,144.980
3975,Lynbrook,VIC,-38.050,145.260
3975,Lyndhurst,VIC,-38.050,145.260
3461,Lyonville,VIC,-37.390,144.220
3156,Lysterfield,VIC,-37.880,145.300
3156,Lysterfield South,VIC,-37.880,145.300
3782,Macclesfield,VIC,-37.920,145.470
3440,Macedon,VIC,-37.400,144.590
3085,Macleod,VIC,-37.730,145.070
3085,Macleod West,VIC,-37.730,145.070
3340,Maddingley,VIC,-37.680,144.440
3012,Maidstone,VIC,-37.810,144.850
3928,Main Ridge,VIC,-38.400,144.970
3714,Maintongoon,VIC,-37.250,145.700
3446,Malmsbury,VIC,-37.200,144.290
3144,Malvern,VIC,-37.840,145.030
3145,Malvern East,VIC,-37.880,145.040
3144,Malvern North,VIC,-37.840,145.030
3024,Mambourin,VIC,-37.900,144.560
3218,Manifold Heights,VIC,-38.140,144.350
3222,Mannerim,VIC,-38.160,144.560
3222,Marcus Hill,VIC,-38.160,144.560
3032,Maribyrnong,VIC,-37.780,144.920
3216,Marshall,VIC,-38.180,144.340
3812,Maryknoll,VIC,-38.040,145.610
3779,Marysville,VIC,-37.560,145.890
3938,Mccrae,VIC,-37.990,145.220
3451,Mckenzie Hill,VIC,-37.030,144.240
3204,Mckinnon,VIC,-37.920,145.040
3799,Mcmahons Creek,VIC,-37.760,145.750
3048,Meadow Heights,VIC,-37.650,144.930
3000,Melbourne,VIC,-37.810,144.970
3045,Melbourne Airport,VIC,-37.670,144.830
3052,Melbourne University,VIC,-37.800,144.960
3337,Melton,VIC,-37.680,144.590
3338,Melton South,VIC,-37.700,144.540
3337,Melton West,VIC,-37.680,144.590
3194,Mentone,VIC,-37.980,145.060
3194,Mentone East,VIC,-37.980,145.060
3159,Menzies Creek,VIC,-37.920,145.400
3058,Merlynston,VIC,-37.730,144.960
